PTD Table,,,,,,PTD Table,,
Sr. No.,Insured Events,Amount payable = % of the Sum Insured applicable against Benefit 2,,,,Sr. No.,Type of Permanent Total Disability (PTD),% of Sum Insured
VI,"Second degree burns of 10% or more, but less than 20% of the total body surface area",0.2,,,,4,Closed Fracture one bone,0.15
VII,"Third degree burns of 5% or more, but less than 10% of the total body surface area",0.2,,,,B,Thigh or Lower Leg,
VIII,"Second degree burns of 5% or more, but less than 10% of the total body surface area",0.1,,,,5,Open Fracture of more than one bone,0.6
"Note: In case an Injury results in more than one of the ‘Descriptions of Extent of Burn Injury’ above, then Our maximum liability shall not exceed the Sum Insured.",,,,,,6,Open Fracture of one bone,0.45
,,,,,,7,Closed Fracture of more than one bone,0.25
,,,,,,8,Closed Fracture one bone,0.15
,,,,,,C,"Elbows, Arm (including wrist but excluding Colles type fractures)",
,,,,,,9,Open Fracture of more than one bone,0.45
,,,,,,10,Open Fracture of one bone,0.35
,,,,,,11,Closed Fracture of more than one bone,0.2
,,,,,,12,Closed Fracture one bone,0.15
,,,,,,D,Colles type fracture of the lower arm,
,,,,,,13,Open Fracture,0.25
,,,,,,14,Closed Fracture,0.1
,,,,,,E,Skull,
,,,,,,15,Fracture of the skull needing surgical Intervention,0.6
,,,,,,16,Fracture of the skull not needing surgical Intervention,0.2
,,,,,,F,"Shoulder Blade, Rib(s), Knee cap, Sternum, Hand (excluding fingers andwrist), Foot (excluding toes or heel)",
,,,,,,17,Open Fracture ,0.3
,,,,,,18,Closed Fracture ,0.1
,,,,,,G,Spinal Column (Vertebrae but excluding coccyx),
,,,,,,19,All compression fractures,0.4
,,,,,,20,"All spinous, transverse process of pedicle fractures",0.4
,,,,,,21,Permanent Spinal Cord damage,0.4
,,,,,,22,All vertebral fractures,0.15
,,,,,,H,Lower Jaw,
,,,,,,23,Open Fracture,0.25
,,,,,,24,Closed Fracture,0.1
,,,,,,I,"Cheekbone, Clavicle, Coccyx, Upper Jaw, Nose, Toe(s), Finger(s), Ankle, Heel",
,,,,,,25,Open Fracture of more than one bone,0.15
,,,,,,26,Open Fracture of one bone,0.12
,,,,,,27,Closed Fracture of more than one bone,0.04
,,,,,,28,Closed Fracture one bone,0.02
,,,,,,J,Dislocations requiring surgery under anesthesia,
,,,,,,29,Spine,0.35
,,,,,,30,Back (Excluding slipped disc),0.35
,,,,,,31,Hip,0.25
,,,,,,32,Knee (Left or right),0.2
,,,,,,33,Wrist (Left or right),0.15
,,,,,,34,Elbow (Left or right),0.15
,,,,,,35,Ankle (Left or right),0.1
,,,,,,36,Shoulder blade (Left or right),0.1
,,,,,,37,Collarbone,0.1
,,,,,,38,Fingers (Left or right hand),0.05
,,,,,,39,Toes (Left or right foot),0.05
,,,,,,40,Jaw,0.05
,,,,,,K,Internal Injuries,
,,,,,,41,Internal injuries resulting in open abdominal or Thoracic Surgery,0.25
,,,,,,42,Intracranial hemorrhage and/ or physical brain injury,0.25
