Group Product - Employer Employee,,,,,,,
Sl No,Cover,Cover Description,Minimum Sum Insured/Limits,Maximum Sum Insured/Limits,Sublimit/ Options,,
1,Home Care Treatment Cover,"Hospital at Home for select conditions, cashless facility through Prudential Network only-
for Specific illnesses like chemotherapy, dengue, gastroenteritis, hepatitis, peritoneal dialysis etc","Rs 10,000",300 Lacs,,Part Of Base SI,
2,Road Ambulance Cover,Ambulance charges covered per hospitalization,Rs 500,5Lacs,"In multiples of 500
Cannot be claimed along with Medi Cab cover",Over & Above,
3,Medi Cab Cover,Transportation of the Insured Person to the nearest Hospital and/or from Hospital to home,Rs 500,5Lacs,"On Reimbursement basis only, cannot be claimed along with Road Ambulance cover
Digital bill mandatory",Over & Above,
4,Air Ambulance Cover,Covers expenses towards transportation of the insured person to the nearest hospital by an air ambulance during an emergency,50000,10 Lacs,,Over & Above,
5,Emergency Evacuation Cover,Covers expenses towards the arrangement of an emergency evacuation to the nearest facility capable of providing adequate care,50000,10 Lacs,,Over & Above,
6,Domiciliary Hospitalization Cover,Medical expenses towards Domiciliary hospitalization covered up to Sum Insured,"1% of SI
Rs 10,000
1% max up to 10,000","100% of SI
2 300 Lacs
100% max up to 2 300 Lacs",,Part Of Base SI,
7,Organ Donor Expense Cover,Covers Hospitalization expenses for Donor only till harvesting and covers the charges when insured person is the donor.,"1% of SI
Rs 10,000
1% max up to 10,000","100% of SI
300 Lacs
100% max up to 300 Lacs",,Part Of Base SI,
8,Maternity Expenses Cover,"Maternity Expenses related to : Normal Delivery, Routine or elective C-section delivery and related complications","For Normal Delivery-10,000
For C- Sec-10,000","For Normal Delivery - Upto SI (300 Lacs)
For C- Sec-Upto SI (300 Lacs)","In multiples of 5,000
Part of Base SI
Over and above base SI
Dual Maternity
Limit no of deliveries - up to 4 deliveries including twins and triplets/quadruplets- managed in policy wordings - Keep it open",Over & Above,
10,New Born Medical Expenses Cover,Expenses towards treatment of a new born baby,10000,Upto  sum insured opted,"In multiples of 10,000
Option to choose:
a) Within maternity SI
b)Over and above maternity SI","a)Part of Maternity SI
b)Part of In-patient Base SI",
11,Birth Control Procedure Cover,Covers Medical expenses towards implanted/injected contraceptives surgical therapies post appropriate counselling,5000,5Lacs,,Over & Above,
12,Infertility Treatment Cover,"Covers Medical Expenses towards diagnostic infertility services undertaken to determine the cause of infertility, treatment and procedures including artificial insemination and advanced reproductive technologies such as IVF, ZIFT, GIFT, ICSI",5000,Upto maternity sum insured opted,"Sublimit Options available: From Rs 5,000 to Base SI",Part of Base maternity SI,
13,"In-patient Hospitalisation for Surrogate Mother
Mandate by IRDAI","Incurred in respect of In Patient
Hospitalization of the Surrogate mother appointed by the
“Intending Couple”/ ”Intending woman” for complications
arising out of pregnancy and post-partum delivery
complications during the Policy Period, up to a maximum
limit of Rs. 5 Lakhs",5000,5Lacs,NA,Over & Above,
14,"In-patient Hospitalisation for Oocyte (Egg) Donor
Mandate by IRDAI","Covers medical expenses incurred in respect of Hospitalization
of Oocyte Donor appointed by the “Intending Couple” /
”Intending woman” for complications arising out of oocyte
retrieval during the Policy Period, up to a maximum limit of
Rs. 5 Lakhs",5000,5Lacs,NA,Over & Above,
15,Stem Cell Preservation Cover- Harvesting & Banking,"Covers processing, and storage of stem cells",5000,5Lacs,NA,Over & Above,
23,Sublimit on Treatment/Illness/Diseases/Surgery/Medical Conditions,"Option to restrict the payment for specified treatment of an illness/Procedure
List in Annexure",0.1,1,"Limit as per annexure attached with the Table
Option to choose-
i. Lower Limit
ii. Default Limit
iii. Higher Limit
iv. No Cap",NA,
24,Co- Payment,Insured person will pay the percentage specified on each and every admissible claim,0.05,0.5,Voluntary co pay options available: 5% to 50% of the admissible claim amount,NA,
25,Annual Aggregate Deductible,Deductible will be applicable on the aggregate of all claims in that policy year,5000,300 Lacs,"In the multiples 5,000",NA,
26,Per Claim Deductible,Deductible will be applicable on each and every claim registered in the policy year,5000,300 Lacs,"In the multiples 5,000",NA,
28,Consumables Cover,Coverage list as per IRDAI,"Option 1- List 1,
Option 2- List 1, List 2,List 3,List 4 of IRDAI
Annexure I to wordings","Option 1- List 1,
Option 2- List 1, List 2,List 3,List 4 of IRDAI
Annexure I to wordings",,NA,
