Section 1 : Personal Accident,,,,,,,
1.1 Personal Accident,,,,,,,
S.No,Name of Benefit NEW,Trigger,"Details of Coverage
", Min Sum Insured,Max Sum Insured,Payout,Change from last TCS signed version
25,Re-skilling Expenses Cover,PTD/PPD,Opted Sum Insured ,"INR 1,000","INR 5,00,000",Fixed ,No Change
26,Elderly Cover in case of Accident,AD/PTD,Opted Sum Insured ,"INR 10,000","INR 10,00,000",Fixed ,No Change
27,Trip Cancellation in case of Accident,AD/PTD/Hospitalisation,Opted Sum Insured ,"INR 10,000","INR 10,00,000",Indemnity,No Change
28,EMI Cover,AD/PTD/PPD,"Opted Sum Insured , No. of EMI options 3/ 6/ 9/ 12","INR 50,000","INR 5,00,000",Fixed ,No Change
29, LongStay Allowance,AD/PTD/PPD/Inpatient,Counselling and Placement Services for Insured Person,500,100000,Service,Name Change (old name to new name
30,Blood Transfusion expenses,PTD/PPD,Opted Sum Insured ,INR 500,"INR 25,00,000",Fixed ,No Change
31,Air Accidental Cover,AD/PTD,Coverage for AD/PTD in case of Air Accident,INR 1000,"INR 25,00,00,000",Fixed,New Addition
32,Child Support Cover,AD/PTD,Counselling and Placement Services for Insured Person's Child,N.A.,N.A.,Service,No Change
33,Chauffeur Cover,"PTD, PPD",Opted Sum Insured ,INR 100 per day,INR 5000 (max upto 90 days from date of accident),Fixed ,New Addition
1.2 : Accidental Hospitalisation,,,,,,,
1,"Accidental In-patient Care
",Accident,,"INR 1,000","INR 3,00,00,000",Indemnity,No Change
2,Ambulance Services ,Accident,"Part of Accidental In-Patient Care
Option :
i. Within Network only - Up to S.I.
ii. Within and outside Network - Outside Limit 5000/10000, within Upto S.I.",Upto Accidental In-patient Care S.I.,Upto Accidental In-patient Care S.I.,Indemnity,No Change
3,Medicab Protect,Accident,"Part of Accidental In-Patient Care
Options( Per Event, INR) : 500",INR 500,"INR 5,000",Indemnity,No Change
4,Restoration,Accident,"Options
a.Upto Rs 1,00,000
b.0 to 100% of Accidental Hospitalization S.I","Options
a.Upto Rs 1,00,000
b.0 to 100% of Accidental Hospitalization S.I","Options
a.Upto Rs 1,00,000
b.0 to 100% of Accidental Hospitalization S.I",Indemnity,No Change
5,Day Care Procedures/Treatment,Accident,Part of Accidental In-Patient Care,Upto Accidental In-patient Care S.I.,Upto Accidental In-patient Care S.I.,Indemnity,No Change
6,Post Hospitalization Medical Expenses,Accident,"Part of Accidental In-Patient Care
Option : Limit / Upto S.I.","INR 1,000","INR 50,00,000",Indemnity,No Change
7,Air Ambulance,Accident,"Part of Accidental In-Patient Care
Limit per incidence
S.I. options : 10000, 50000, Then in multiple of 50000 thereon","INR 10,000","INR 10,00,000",Indemnity,No Change
