1,OPD Minor Procedure,,,,,,,,,,,
,1,Cancer Of Specific Severity,a,a,a,a,a,a,,,,
,2,Myocardial Infarction (First Heart Attack - Of Specific Severity),a,a,a,a,a,a,,,,
,3,Open Chest Cabg,a,a,a,a,a,a,,,,
,4,Open Heart Replacement Or Repair Of Heart Valves,a,a,a,a,a,a,,,,
,5,Kidney Failure Requiring Regular Dialysis,a,a,a,a,a,a,,,,
,6,Stroke Resulting In Permanent Symptoms,a,a,a,a,a,a,,,,
,7,Major Organ / Bone Marrow Transplant,a,a,a,a,a,a,,,,
,8,Permanent Paralysis Of Limbs,a,a,a,a,a,a,,,,
,9,Multiple Sclerosis With Persisting Symptoms,a,a,a,a,a,a,,,,
,10,Coma Of Specified Severity,r,a,a,a,a,a,,,,
,11,Motor Neurone Disease With Permanent Symptoms,r,a,a,a,a,a,,,,
,12,Loss Of Vision (Blindness),r,r,a,a,a,a,,,,
,13,Major Burns (Third Degree Burns),r,r,a,a,a,a,,,,
,14,Parkinson'S Disease,r,r,a,a,a,a,,,,
,15,Benign Brain Tumor,r,r,a,a,a,a,,,,
,16,Alzheimer'S Disease,r,r,r,a,a,a,,,,
,17,Aorta Graft Surgery,r,r,r,a,a,a,,,,
,18,Loss Of Hearing (Deafness),r,r,r,a,a,a,,,,
,19,Loss Of Limbs,r,r,r,a,a,a,,,,
,20,Loss Of Speech,r,r,r,a,a,a,,,,
,21,Aplastic Anaemia,r,r,r,a,a,a,,,,
,22,End Stage Liver Failure,r,r,r,a,a,a,,,,
,23,End Stage Lung Failure,r,r,r,a,a,a,,,,
,24,Primary (Idiopathic) Pulmonary Hypertension,r,r,r,a,a,a,,,,
,25,Bacterial Meningitis,r,r,r,a,a,a,,,,
,26,Apallic Syndrome Or Persistent Vegetative State (Pvs),r,r,r,r,a,a,,,,
,27,Encephalitis,r,r,r,r,a,a,,,,
,28,Fulminant Hepatitis,r,r,r,r,a,a,,,,
,29,Chronic Relapsing Pancreatitis,r,r,r,r,a,a,,,,
,30,Major Head Trauma,r,r,r,r,a,a,,,,
,31,Medullary Cystic Disease,r,r,r,r,a,a,,,,
,32,Muscular Dystrophy,r,r,r,r,a,a,,,,
,33,Poliomyelitis,r,r,r,r,a,a,,,,
,34,Systemic Lupus Erythematous,r,r,r,r,a,a,,,,
,35,Brain Surgery,r,r,r,r,a,a,,,,
,36,Coronary Angioplasty (Ptca)[1],r,r,r,r,r,a,,,,
,,,,,,,,,,,,
7,Sublimits,,,,,,,,,,,
,S. No.,List of Ailments and Procedures,Category,Sub Limit options,,,,,,,,
,1,Cataract surgery,Procedure,"<<10000 to 1,00,000>>",,,,,,,,
,2,Appendectomy,Procedure,"<<20000 to 1,00,000>>",,,,,,,,
,3,Tonsillectomy,Procedure,"<<10000 to 1,00,000>>",,,,,,,,
,4,Mastoidectomy,Procedure,"<<15000 to 1,00,000>>",,,,,,,,
,5,Kidney Stone Removal,Procedure,"<<15000 to 1,00,000>>",,,,,,,,
,6,Kidney Stone (incl DJ stent removal for same stone),Procedure,"<<20000 to 1,00,000>>",,,,,,,,
,7,Lithotripsy,Procedure,"<<10000 to 1,00,000>>",,,,,,,,
,8,Hysterectomy,Procedure,"<<30000 to 1,00,000>>",,,,,,,,
,9,Hernia surgery- Open/Laparoscopic,Procedure,"<<20000 to 1,00,000>>",,,,,,,,
,10,Hernia repair - Open (Inclusive of Mesh),Procedure,"<<30000 to 1,00,000>>",,,,,,,,
,11,Hernia repair - Laparoscopic (Inclusive of Mesh),Procedure,"<<30000 to 1,00,000>>",,,,,,,,
,12,Haemorrhoidectomy (Piles),Procedure,"<<20000 to 1,00,000>>",,,,,,,,
,13,Laparatomy,Procedure,"<<30000 to 1,00,000>>",,,,,,,,
,14,Gall Bladder surgery,Procedure,"<<30000 to 1,00,000>>",,,,,,,,
,15,Intestinal perforation (Surgery for),Procedure,<<40000 to 160000>>,,,,,,,,
,16,Renal Lithotomy,Procedure,<<40000 to 120000>>,,,,,,,,
,17,Hydrocele (Surgery for),Procedure,"<<20000 to 1,00,000>>",,,,,,,,
,18,Renal calculi (Procedure),Procedure,"<<15000 to 1,00,000>>",,,,,,,,
,19,Ureteric calculi (Procedure),Procedure,"<<15000 to 1,00,000>>",,,,,,,,
,20,Joint Replacement (Unilateral) (Surgery for),Procedure,<<100000 to 300000>>,,,,,,,,
,21,Joint Replacement (Bilateral) (Surgery for),Procedure,<<150000 to 450000>>,,,,,,,,
,22,Hip Replacement (Unilateral)(Surgery for),Procedure,<<100000 to 300000>>,,,,,,,,
,23,Hip Replacement (Bilateral)(Surgery for),Procedure,<<150000 to 450000>>,,,,,,,,
