Chronic Management OPD Grid ,,,,,,,
Condition(s),Category,GP Consults (tele),IM Consults,Super Specialist,Key Tests,Test Frequency,Health Coaching
7,Pediatric & Neonatal Monitoring Devices,,,,,,
,Infant Apnea Monitor,,,,,,
,Pediatric Pulse Oximeter,,,,,,
,Growth and Vital Monitoring Devices (as prescribed),,,,,,
8,Other Essential Medical Monitoring Devices,,,,,,
,Body Temperature Monitoring Device (Digital Thermometer),,,,,,
,Infusion Pump,,,,,,
,Syringe Pump,,,,,,
,Patient Monitoring System (Multi‑parameter monitors for home care),,,,,,
,"Pressure Ulcer Prevention Devices (Air mattress, ripple mattress)",,,,,,
